path,bytes,sha256,model_family,dataset_hint,artifact_role,source_url,google_drive_id,source_project,license,redistribution_status,notes
checkpoints/videoswin/swin_base_patch244_window877_kinetics400_1k.pth,381759368,309e76e2cba4b3052eb3afda3ee57205130712369cbde6bf2fad05127e2f9bf8,videoswin,kinetics400,model-checkpoint,https://github.com/SwinTransformer/storage/releases/download/v1.0.4/swin_base_patch244_window877_kinetics400_1k.pth,,https://github.com/SwinTransformer/Video-Swin-Transformer,,unverified-do-not-redistribute,Official model-zoo classifier at third_party/Video-Swin-Transformer/README.md:30; checkpoint-specific license unresolved
checkpoints/videoswin/swin_small_patch244_window877_kinetics400_1k.pth,228830087,7e05aa13cfa1aa99fe78c1ccac96c263344b315fe5d98a165b77b1f7532ce500,videoswin,kinetics400,model-checkpoint,https://github.com/SwinTransformer/storage/releases/download/v1.0.4/swin_small_patch244_window877_kinetics400_1k.pth,,https://github.com/SwinTransformer/Video-Swin-Transformer,,unverified-do-not-redistribute,Official model-zoo classifier at third_party/Video-Swin-Transformer/README.md:29; checkpoint-specific license unresolved
checkpoints/videoswin/swin_tiny_patch244_window877_kinetics400_1k.pth,127414861,9950e3be6b0b3763f80575dfbbe7db7cbeb18345e32363b73e8d44952ef76acc,videoswin,kinetics400,model-checkpoint,https://github.com/SwinTransformer/storage/releases/download/v1.0.4/swin_tiny_patch244_window877_kinetics400_1k.pth,,https://github.com/SwinTransformer/Video-Swin-Transformer,,unverified-do-not-redistribute,Official model-zoo classifier at third_party/Video-Swin-Transformer/README.md:28; checkpoint-specific license unresolved
checkpoints/vivit/k400-vit-b-16-f8.pt,1515804057,88dc64dc65c18e12367b2e08b611ac8577b0a09018b7e181d0db601d7c191e94,vivit,kinetics400,model-checkpoint,,,,,unverified-do-not-redistribute,
checkpoints/vivit/k400_sentence_labels.pt,159283,03cd97af687cc623507c1ab9c2bfff61e406fd5a4fd6748d3763dace2eae1d50,vivit,kinetics400,label-metadata,,,,,unverified-do-not-redistribute,
checkpoints/vivit/k400_sentence_sims.pt,31680883,b90ecb1a3b7f5ffcc77928bea59b11efccb9ba5f5dd7f22afa844813e22b2d5f,vivit,kinetics400,similarity-metadata,,,,,unverified-do-not-redistribute,
checkpoints/vivit/k400_video_labels.pt,159271,e8006c645076ac5402fbc897001f8692e21da463fa2c3460b979353f44343a20,vivit,kinetics400,label-metadata,,,,,unverified-do-not-redistribute,
checkpoints/vivit/k400_video_sims.pt,31680874,72dc8ce36cc11b04d526c20f3d41822b0ed2f500f9462b9fde62d57c52393909,vivit,kinetics400,similarity-metadata,,,,,unverified-do-not-redistribute,
checkpoints/vtn/SLOWFAST_8x8_R50.pkl,276854877,8988deb84b65226669eba1a5da6d14fd170dba374891b21439079c90dd80c026,vtn,kinetics400,model-checkpoint,,,,,unverified-do-not-redistribute,
checkpoints/vtn/VTN_VIT_B_KINETICS.pyth,454099681,779682d33e7afc32c3eff910e151eab30e7aed375acf7743cfe3041a83dcbf3a,vtn,kinetics400,model-checkpoint,,,https://github.com/bomri/SlowFast,,unverified-do-not-redistribute,Official VTN project identified by paper but exact checkpoint download provenance is unresolved
checkpoints/ZeroI2V/CLIP-B_k400_8x16x1.pth,423014733,f62f2e10aa0ae0cb755046f9d84b5ecffd58d4a5f1ae043ace88c3b27621929f,ZeroI2V,kinetics400,model-checkpoint,,,,,unverified-do-not-redistribute,
checkpoints/ZeroI2V/CLIP-L_k400_8x16x1.pth,1448305581,d960dbfb14f62b561bba87761e87d3798fdcc42ddce4e615b1744664be96c71f,ZeroI2V,kinetics400,model-checkpoint,,,,,unverified-do-not-redistribute,
checkpoints/ZeroI2V/CLIP-L_sthv2_u32.pth,1443450477,0126c6c720ee7d6d91f757c9f9ddc5a92f5415b47598ae96db042f5e62ef9706,ZeroI2V,ssv2,model-checkpoint,,,,,unverified-do-not-redistribute,
