Device,Dataset,Split,AnnotationFile,InputProtocol,ClipCount,FramesUsed,ModelKey,Model,Top1Published(%),Top1Measured(%),MetricAccuracy(%),MetricAccuracySource,Params(M),GFLOPs,NetScore,NS-E(1/8),NS-M(1/8),NS#(1/8),Latency(ms),LatencyStd(ms),FPS,AvgPower(W),AvgPower(mW),PowerBackend,PowerSamples,TotalTime(s),Energy(J),TotalEnergy(J),PeakVRAM(MiB)
RTX_3050_Laptop,ssv2,official_validation_local_1000_seed0,C:\Users\DIDAR\Documents\VideoClassificationTest\third_party\UniFormer\video_classification\data_list\sthv2\somesomev2_rgb_validation_split.txt,single uniformly sampled full-video view,1000,16,uniformer-b,UniFormer-B,70.4,67.1,67.1,measured,49.697262,290.0,32.32,63.24,66.79,56.96,163.1,10.6,6.13,52.51,52507.0,pynvml/NVML,5214,163.089,8.563,8563.34,323.0
RTX_3050_Laptop,ssv2,official_validation_local_1000_seed0,C:\Users\DIDAR\Documents\VideoClassificationTest\third_party\UniFormer\video_classification\data_list\sthv2\somesomev2_rgb_validation_split.txt,single uniformly sampled full-video view,1000,16,uniformer-s,UniFormer-S,67.7,65.1,65.1,measured,21.284462,125.0,38.97,63.49,66.71,57.66,78.8,11.6,12.69,52.95,52947.0,pynvml/NVML,2560,78.819,4.173,4173.25,215.0
RTX_3050_Laptop,ssv2,official_validation_local_1000_seed0,C:\Users\DIDAR\Documents\VideoClassificationTest\third_party\UniFormer\video_classification\data_list\sthv2\somesomev2_rgb_validation_split.txt,single uniformly sampled full-video view,1000,32,videoswin-b,VideoSwin-B,69.6,69.5,69.5,measured,88.834038,320.6,29.16,62.31,65.35,53.97,601.1,10.5,1.66,58.98,58981.0,pynvml/NVML,19162,601.081,35.452,35452.26,2156.0
RTX_3050_Laptop,ssv2,official_validation_local_1000_seed0,C:\Users\DIDAR\Documents\VideoClassificationTest\third_party\UniFormer\video_classification\data_list\sthv2\somesomev2_rgb_validation_split.txt,single uniformly sampled full-video view,1000,32,timesformer-b,TimeSformer-B,59.1,57.6,57.6,measured,121.392558,196.0,27.1,60.5,63.23,53.31,167.1,12.2,5.98,55.36,55365.0,pynvml/NVML,5366,167.088,9.251,9250.83,750.0
RTX_3050_Laptop,ssv2,official_validation_local_1000_seed0,C:\Users\DIDAR\Documents\VideoClassificationTest\third_party\UniFormer\video_classification\data_list\sthv2\somesomev2_rgb_validation_split.txt,single uniformly sampled full-video view,1000,8,video-focalnet-b,Video-FocalNet-B,71.1,61.1,61.1,measured,157.157566,149.0,30.38,61.15,63.53,53.24,228.1,11.3,4.38,57.44,57441.0,pynvml/NVML,7261,228.107,13.103,13102.67,1461.0
RTX_3050_Laptop,ssv2,official_validation_local_1000_seed0,C:\Users\DIDAR\Documents\VideoClassificationTest\third_party\UniFormer\video_classification\data_list\sthv2\somesomev2_rgb_validation_split.txt,single uniformly sampled full-video view,1000,32,videomae-b,VideoMAE-B,70.8,68.6,68.6,measured,86.361006,180.0,32.09,63.37,66.18,56.1,190.7,10.0,5.24,56.76,56755.0,pynvml/NVML,6088,190.745,10.826,10825.76,809.0
