"Name","Commit","Remote"
"ActionCLIP","31c34df17dce917d67127b7fb155922c4744f680","https://github.com/sallymmx/ActionCLIP.git"
"DualFormer","058c10c6a07885b150a4c05b729230e243e81440","https://github.com/sail-sg/dualformer.git"
"SlowFast","287ec0076846560f44a9327e931a5a2360240533","https://github.com/facebookresearch/SlowFast.git"
"UniFormer","52a0415e4e0dda880fab8ffbc710e4d8e171149d","https://github.com/Sense-X/UniFormer.git"
"Video-FocalNets","39eba998ebafc7418b83cbac013919deb3ed26c9","https://github.com/TalalWasim/Video-FocalNets.git"
"Video-Swin-Transformer","db018fb8896251711791386bbd2127562fd8d6a6","https://github.com/SwinTransformer/Video-Swin-Transformer.git"
"VideoMAE","14ef8d856287c94ef1f985fe30f958eb4ec2c55d","https://github.com/MCG-NJU/VideoMAE.git"
"omnivore","1d55abdc8dfc7bd5cbf69316841ab804d0acf1ca","https://github.com/facebookresearch/omnivore.git"
"TimeSformer","a5ef29a7b7264baff199a30b3306ac27de901133","https://github.com/facebookresearch/TimeSformer.git"
